names	achrom_contrast_bees	transect	zone	zone2
T1_206	0.277926412	1	purple	purple1
T1_207	0.239060706	1	purple	purple1
T1_208	0.117482596	1	purple	purple1
T1_209	0.237990471	1	purple	purple1
T1_210	0.168185193	1	purple	purple1
T1_211	0.170199119	1	purple	purple1
T1_212	0.2834927	1	purple	purple1
T1_213	0.262075802	1	purple	purple1
T1_214	0.269909764	1	purple	purple1
T1_215	0.145845701	1	purple	purple1
T1_216	0.210272236	1	purple	purple1
T1_217	0.228841658	1	purple	purple1
T1_218	0.33863569	1	purple	purple1
T1_219	0.163024156	1	purple	purple1
T1_220	0.22264736	1	purple	purple1
T1_221	0.204951675	1	purple	purple1
T1_222	0.272815585	1	purple	purple1
T1_223	0.220197631	1	purple	purple1
T1_224	0.178724621	1	purple	purple1
T1_225	0.280890366	1	purple	purple1
T1_226	0.226665623	1	purple	purple1
T1_227	0.207000895	1	purple	purple1
T1_228	0.066492481	1	purple	purple1
T1_229	0.200848363	1	purple	purple1
T1_230	0.206746949	1	purple	purple1
T1_231	0.202821146	1	purple	purple1
T1_232	0.171791942	1	purple	purple1
T1_233	0.298130569	1	purple	purple1
T1_234	0.212684566	1	purple	purple1
T1_235	0.155396443	1	purple	purple1
T1_236	0.273919402	1	purple	purple1
T1_237	0.303949829	1	purple	purple1
T1_238	0.365131169	1	purple	purple1
T1_239	0.267198475	1	purple	purple1
T1_240	0.286558158	1	purple	purple1
T1_241	0.2949636	1	purple	purple1
T1_242	0.261150107	1	purple	purple1
T1_243	0.31480331	1	purple	purple1
T1_244	0.320038593	1	purple	purple1
T1_245	0.276852886	1	purple	purple1
T1_246	0.254792455	1	purple	purple1
T1_247	0.270282777	1	purple	purple1
T1_248	0.272886099	1	purple	purple1
T1_249	0.331343361	1	purple	purple1
T1_250	0.310278216	1	purple	purple1
T1_251	0.278310222	1	purple	purple1
T1_252	0.284857833	1	purple	purple1
T1_253	0.28198566	1	purple	purple1
T1_254	0.225921647	1	purple	purple1
T1_255	0.243181892	1	purple	purple1
T1_256	0.180054093	1	purple	purple1
T1_257	0.219611397	1	purple	purple1
T1_258	0.251626994	1	purple	purple1
T1_259	0.304332772	1	purple	purple1
T1_10	0.166376522	2	purple	purple2
T1_11	0.291446066	2	purple	purple2
T1_12	0.239145817	2	purple	purple2
T1_13	0.276845295	2	purple	purple2
T1_14	0.261577521	2	purple	purple2
T1_15	0.25551391	2	purple	purple2
T1_16	0.267795723	2	purple	purple2
T1_17	0.29568828	2	purple	purple2
T1_18	0.216805983	2	purple	purple2
T1_19	0.247054296	2	purple	purple2
T1_1	0.251287345	2	purple	purple2
T1_20	0.26807117	2	purple	purple2
T1_261	0.362680295	2	purple	purple2
T1_262	0.310387052	2	purple	purple2
T1_263	0.256056813	2	purple	purple2
T1_264	0.250719001	2	purple	purple2
T1_265	0.25290976	2	purple	purple2
T1_266	0.319011753	2	purple	purple2
T1_267	0.204542397	2	purple	purple2
T1_268	0.201090974	2	purple	purple2
T1_269	0.157784716	2	purple	purple2
T1_270	0.31159711	2	purple	purple2
T1_271	0.290546838	2	purple	purple2
T1_272	0.221888718	2	purple	purple2
T1_273	0.252263648	2	purple	purple2
T1_274	0.182970994	2	purple	purple2
T1_275	0.255683257	2	purple	purple2
T1_276	0.282639254	2	purple	purple2
T1_277	0.198232344	2	purple	purple2
T1_278	0.326410414	2	purple	purple2
T1_279	0.333837217	2	purple	purple2
T1_280	0.251244164	2	purple	purple2
T1_281	0.321974759	2	purple	purple2
T1_282	0.289151333	2	purple	purple2
T1_283	0.208150919	2	purple	purple2
T1_284	0.316043562	2	purple	purple2
T1_285	0.106253478	2	purple	purple2
T1_286	0.26057986	2	purple	purple2
T1_287	0.208434717	2	purple	purple2
T1_288	0.241983254	2	purple	purple2
T1_289	0.222256743	2	purple	purple2
